Batch_Idx,Avg_Reward,Loss_Job,Loss_Mch,Val_Makespan,Time
419,-357.9575,0.0895,-0.0255,370.7508,10.29
420,-371.1680,0.1395,-0.0147,0.0000,59.06
421,-365.1575,0.1193,-0.0196,0.0000,10.40
422,-367.1378,0.0635,-0.0159,0.0000,10.62
423,-352.0383,0.1088,-0.0210,0.0000,9.55
424,-365.2617,0.1081,-0.0184,0.0000,9.93
425,-369.6639,0.2065,-0.0165,0.0000,10.76
426,-401.1945,0.1930,-0.0137,0.0000,10.30
427,-360.0434,0.1386,-0.0125,0.0000,9.88
428,-356.4759,0.0858,-0.0257,0.0000,10.74
429,-359.9112,0.1461,-0.0279,0.0000,10.37
430,-371.4731,0.1454,-0.0078,0.0000,9.74
431,-349.8553,0.1303,-0.0133,0.0000,9.67
432,-367.7369,0.0807,-0.0172,0.0000,10.85
433,-374.7353,0.1456,-0.0266,0.0000,10.18
434,-352.6353,0.1310,-0.0047,0.0000,10.04
435,-357.4800,0.1426,-0.0145,0.0000,10.77
436,-387.3039,0.1562,-0.0152,0.0000,10.25
437,-345.3588,0.1320,-0.0120,0.0000,9.65
438,-358.1418,0.0762,-0.0192,0.0000,10.69
439,-352.1306,0.1377,-0.0140,552.3337,10.73
440,-359.5133,0.1229,-0.0303,0.0000,62.25
441,-369.4805,0.1171,-0.0111,0.0000,10.11
442,-341.9729,0.1612,-0.0199,0.0000,10.67
443,-355.7877,0.1071,-0.0238,0.0000,10.17
444,-360.1544,0.0839,-0.0158,0.0000,10.80
445,-360.3455,0.1356,-0.0194,0.0000,10.39
446,-355.3286,0.1383,-0.0256,0.0000,10.45
447,-383.5637,0.0882,-0.0201,0.0000,10.86
448,-368.7649,0.1209,-0.0122,0.0000,10.11
449,-339.2886,0.1683,-0.0148,0.0000,9.94
450,-356.9976,0.1001,-0.0199,0.0000,10.16
451,-347.6442,0.1234,-0.0187,0.0000,9.64
452,-358.7071,0.1756,-0.0133,0.0000,9.79
453,-361.4186,0.2196,-0.0186,0.0000,9.90
454,-372.4712,0.3027,-0.0145,0.0000,9.96
455,-344.9741,0.1866,-0.0108,0.0000,10.78
456,-371.3513,0.1485,-0.0265,0.0000,10.64
457,-371.0118,0.1362,-0.0212,0.0000,10.66
458,-346.2655,0.2497,-0.0043,0.0000,9.90
459,-359.3573,0.1721,-0.0104,357.2147,10.22
460,-347.5730,0.1577,-0.0254,0.0000,59.74
461,-358.3804,0.1344,-0.0071,0.0000,9.42
462,-367.7618,0.0964,-0.0155,0.0000,9.90
463,-345.9121,0.1245,-0.0175,0.0000,10.78
464,-341.4675,0.1091,-0.0140,0.0000,10.24
465,-360.5409,0.2884,-0.0185,0.0000,9.64
466,-339.6026,0.1181,-0.0137,0.0000,10.77
467,-347.5392,0.1184,-0.0233,0.0000,10.69
468,-372.5521,0.0903,-0.0089,0.0000,10.10
469,-344.9097,0.1578,-0.0195,0.0000,10.58
470,-360.8104,0.1708,-0.0195,0.0000,10.53
471,-362.1627,0.1724,-0.0141,0.0000,9.56
472,-390.5942,0.0924,-0.0232,0.0000,10.52
473,-405.1309,0.1854,-0.0155,0.0000,10.47
474,-338.9753,0.1397,-0.0128,0.0000,10.02
475,-372.4773,0.1537,-0.0146,0.0000,10.34
476,-326.1137,0.2076,-0.0326,0.0000,10.66
477,-387.6196,0.1101,-0.0124,0.0000,9.95
478,-352.2080,0.0942,-0.0172,0.0000,10.60
479,-352.9151,0.1311,-0.0173,364.2182,10.44
480,-402.0998,0.1503,-0.0228,0.0000,59.78
481,-374.7289,0.1120,-0.0229,0.0000,9.39
482,-364.7798,0.1164,-0.0283,0.0000,9.86
483,-334.9706,0.1305,-0.0196,0.0000,10.75
484,-365.6000,0.0966,-0.0228,0.0000,10.36
